Gmina,Powiat,Województwo,Andrzej Sebastian DUDA,Rafał Kazimierz TRZASKOWSKI
gm. Stara Błotnica,białobrzeski,mazowieckie,2648,442
gm. Stromiec,białobrzeski,mazowieckie,2458,595
gm. Wyśmierzyce,białobrzeski,mazowieckie,1446,347
m. Ciechanów,ciechanowski,mazowieckie,12628,10631
gm. Ciechanów,ciechanowski,mazowieckie,2335,1343
gm. Glinojeck,ciechanowski,mazowieckie,2709,1155
gm. Gołymin-Ośrodek,ciechanowski,mazowieckie,1591,379
gm. Grudusk,ciechanowski,mazowieckie,1531,402
gm. Ojrzeń,ciechanowski,mazowieckie,1796,512
gm. Opinogóra Górna,ciechanowski,mazowieckie,2247,774
gm. Regimin,ciechanowski,mazowieckie,1901,726
gm. Sońsk,ciechanowski,mazowieckie,3028,1034
m. Garwolin,garwoliński,mazowieckie,5863,3801
m. Łaskarzew,garwoliński,mazowieckie,1966,815
gm. Borowie,garwoliński,mazowieckie,2408,549
gm. Garwolin,garwoliński,mazowieckie,5343,2103
gm. Górzno,garwoliński,mazowieckie,3283,664
gm. Łaskarzew,garwoliński,mazowieckie,2465,636
gm. Maciejowice,garwoliński,mazowieckie,3388,778
gm. Miastków Kościelny,garwoliński,mazowieckie,2376,574
gm. Parysów,garwoliński,mazowieckie,1958,328
gm. Pilawa,garwoliński,mazowieckie,4435,1518
gm. Sobolew,garwoliński,mazowieckie,3717,844
gm. Trojanów,garwoliński,mazowieckie,3590,716
gm. Wilga,garwoliński,mazowieckie,2110,1236
gm. Żelechów,garwoliński,mazowieckie,3778,924
m. Gostynin,gostyniński,mazowieckie,5038,4638
gm. Gostynin,gostyniński,mazowieckie,4437,2233
gm. Pacyna,gostyniński,mazowieckie,1509,388
gm. Sanniki,gostyniński,mazowieckie,2534,732
gm. Szczawin Kośc.,gostyniński,mazowieckie,1955,636
m. Milanówek,grodziski,mazowieckie,3882,5740
m. Podkowa Leśna,grodziski,mazowieckie,792,1685
gm. Baranów,grodziski,mazowieckie,1908,1024
gm. Grodzisk Mazowiecki,grodziski,mazowieckie,11490,14991
gm. Jaktorów,grodziski,mazowieckie,3688,3417
gm. Żabia Wola,grodziski,mazowieckie,2622,2752
gm. Belsk Duży,grójecki,mazowieckie,2441,1172
gm. Błędów,grójecki,mazowieckie,3046,1046
gm. Chynów,grójecki,mazowieckie,3527,1907
gm. Goszczyn,grójecki,mazowieckie,1410,344
gm. Grójec,grójecki,mazowieckie,6916,6933
gm. Jasieniec,grójecki,mazowieckie,1941,862
gm. Mogielnica,grójecki,mazowieckie,3728,1253
gm. Nowe Miasto nad Pilicą,grójecki,mazowieckie,3437,1205
gm. Pniewy,grójecki,mazowieckie,1712,989
gm. Warka,grójecki,mazowieckie,6510,4090
gm. Garbatka-Letnisko,kozienicki,mazowieckie,2160,1095
gm. Głowaczów,kozienicki,mazowieckie,3389,881
gm. Gniewoszów,kozienicki,mazowieckie,1643,472
gm. Grabów nad Pilicą,kozienicki,mazowieckie,1926,545
gm. Kozienice,kozienicki,mazowieckie,10128,6075
gm. Magnuszew,kozienicki,mazowieckie,3113,1055
gm. Sieciechów,kozienicki,mazowieckie,1535,572
m. Legionowo,legionowski,mazowieckie,12475,16893
gm. Jabłonna,legionowski,mazowieckie,4089,6594
gm. Nieporęt,legionowski,mazowieckie,4063,5116
gm. Serock,legionowski,mazowieckie,4356,4920
gm. Wieliszew,legionowski,mazowieckie,4182,5073
gm. Chotcza,lipski,mazowieckie,966,272
gm. Ciepielów,lipski,mazowieckie,2262,625
gm. Lipsko,lipski,mazowieckie,3841,1893
gm. Rzeczniów,lipski,mazowieckie,1850,462
gm. Sienno,lipski,mazowieckie,2280,715
gm. Solec nad Wisłą,lipski,mazowieckie,1789,748
gm. Huszlew,łosicki,mazowieckie,1287,214
gm. Łosice,łosicki,mazowieckie,4074,1690
gm. Olszanka,łosicki,mazowieckie,1411,254
gm. Platerów,łosicki,mazowieckie,1929,578
gm. Sarnaki,łosicki,mazowieckie,1989,908
gm. Stara Kornica,łosicki,mazowieckie,2011,375
m. Maków Mazowiecki,makowski,mazowieckie,2960,2020
gm. Czerwonka,makowski,mazowieckie,1194,259
gm. Karniewo,makowski,mazowieckie,2143,600
gm. Krasnosielc,makowski,mazowieckie,2322,774
gm. Młynarze,makowski,mazowieckie,837,196
gm. Płoniawy-Bramura,makowski,mazowieckie,2205,650
gm. Różan,makowski,mazowieckie,1692,953
gm. Rzewnie,makowski,mazowieckie,1271,526
gm. Sypniewo,makowski,mazowieckie,1422,379
gm. Szelków,makowski,mazowieckie,1582,565
m. Mińsk Mazowiecki,miński,mazowieckie,10820,11328
gm. Cegłów,miński,mazowieckie,2103,1350
gm. Dębe Wielkie,miński,mazowieckie,3619,2126
gm. Dobre,miński,mazowieckie,2452,1016
gm. Halinów,miński,mazowieckie,4845,4137
gm. Jakubów,miński,mazowieckie,2136,718
gm. Kałuszyn,miński,mazowieckie,2299,933
gm. Latowicz,miński,mazowieckie,2236,594
gm. Mińsk Mazowiecki,miński,mazowieckie,5238,3218
gm. Mrozy,miński,mazowieckie,3251,1704
gm. Siennica,miński,mazowieckie,2792,1248
gm. Stanisławów,miński,mazowieckie,2959,940
m. Sulejówek,miński,mazowieckie,5666,5888
m. Mława,mławski,mazowieckie,8478,7164
gm. Dzierzgowo,mławski,mazowieckie,1223,315
gm. Lipowiec Kościelny,mławski,mazowieckie,1801,654
gm. Radzanów,mławski,mazowieckie,1357,428
gm. Strzegowo,mławski,mazowieckie,2868,984
gm. Stupsk,mławski,mazowieckie,1805,608
gm. Szreńsk,mławski,mazowieckie,1709,449
gm. Szydłowo,mławski,mazowieckie,1750,649
gm. Wieczfnia Kościelna,mławski,mazowieckie,1571,472
gm. Wiśniewo,mławski,mazowieckie,1913,702
m. Nowy Dwór Mazowiecki,nowodworski,mazowieckie,6576,8186
gm. Czosnów,nowodworski,mazowieckie,2906,2960
gm. Leoncin,nowodworski,mazowieckie,2157,1118
gm. Nasielsk,nowodworski,mazowieckie,6874,3598
gm. Pomiechówek,nowodworski,mazowieckie,2951,2585
gm. Zakroczym,nowodworski,mazowieckie,1958,1236
gm. Baranowo,ostrołęcki,mazowieckie,2410,803
gm. Czarnia,ostrołęcki,mazowieckie,979,174
gm. Czerwin,ostrołęcki,mazowieckie,2252,534
gm. Goworowo,ostrołęcki,mazowieckie,3460,910
gm. Kadzidło,ostrołęcki,mazowieckie,4112,1251
gm. Lelis,ostrołęcki,mazowieckie,3862,1115
gm. Łyse,ostrołęcki,mazowieckie,2991,829
gm. Myszyniec,ostrołęcki,mazowieckie,4127,1007
gm. Olszewo-Borki,ostrołęcki,mazowieckie,3915,1560
gm. Rzekuń,ostrołęcki,mazowieckie,4110,2052
gm. Troszyn,ostrołęcki,mazowieckie,2089,474
m. Ostrów Mazowiecka,ostrowski,mazowieckie,6498,4787
gm. Andrzejewo,ostrowski,mazowieckie,2123,334
gm. Boguty-Pianki,ostrowski,mazowieckie,1398,200
gm. Brok,ostrowski,mazowieckie,1125,694
gm. Małkinia Górna,ostrowski,mazowieckie,4884,1479
gm. Nur,ostrowski,mazowieckie,1473,352
gm. Ostrów Mazowiecka,ostrowski,mazowieckie,5004,1641
gm. Stary Lubotyń,ostrowski,mazowieckie,1689,269
gm. Szulborze Wielkie,ostrowski,mazowieckie,987,230
gm. Wąsewo,ostrowski,mazowieckie,1837,498
gm. Zaręby Kościelne,ostrowski,mazowieckie,1647,323
m. Józefów,otwocki,mazowieckie,4912,6657
m. Otwock,otwocki,mazowieckie,11903,12787
gm. Celestynów,otwocki,mazowieckie,4379,2530
gm. Karczew,otwocki,mazowieckie,5293,3632
gm. Kołbiel,otwocki,mazowieckie,3469,1341
gm. Osieck,otwocki,mazowieckie,1725,489
gm. Sobienie-Jeziory,otwocki,mazowieckie,2474,1195
gm. Wiązowna,otwocki,mazowieckie,4175,3711
gm. Góra Kalwaria,piaseczyński,mazowieckie,7679,6921
gm. Konstancin-Jeziorna,piaseczyński,mazowieckie,6427,8356
gm. Lesznowola,piaseczyński,mazowieckie,5645,10268
gm. Piaseczno,piaseczyński,mazowieckie,16716,30199
gm. Prażmów,piaseczyński,mazowieckie,3165,3267
gm. Tarczyn,piaseczyński,mazowieckie,3877,2625
gm. Bielsk,płocki,mazowieckie,3302,1233
gm. Bodzanów,płocki,mazowieckie,2898,1249
gm. Brudzeń Duży,płocki,mazowieckie,3066,1054
gm. Bulkowo,płocki,mazowieckie,2368,604
gm. Drobin,płocki,mazowieckie,2661,873
gm. Gąbin,płocki,mazowieckie,3987,1839
gm. Łąck,płocki,mazowieckie,1892,1230
gm. Mała Wieś,płocki,mazowieckie,2265,750
gm. Nowy Duninów,płocki,mazowieckie,1472,698
gm. Radzanowo,płocki,mazowieckie,2758,1617
gm. Słubice,płocki,mazowieckie,1869,507
gm. Słupno,płocki,mazowieckie,2135,2563
gm. Stara Biała,płocki,mazowieckie,3808,2418
gm. Staroźreby,płocki,mazowieckie,2668,855
gm. Wyszogród,płocki,mazowieckie,1937,885
m. Płońsk,płoński,mazowieckie,5956,5647
m. Raciąż,płoński,mazowieckie,1426,828
gm. Baboszewo,płoński,mazowieckie,2967,1037
gm. Czerwińsk nad Wisłą,płoński,mazowieckie,2737,847
gm. Dzierzążnia,płoński,mazowieckie,1497,436
gm. Joniec,płoński,mazowieckie,1216,902
gm. Naruszewo,płoński,mazowieckie,2330,731
gm. Nowe Miasto,płoński,mazowieckie,1800,925
gm. Płońsk,płoński,mazowieckie,2682,1375
gm. Raciąż,płoński,mazowieckie,3414,772
gm. Sochocin,płoński,mazowieckie,2163,1052
gm. Załuski,płoński,mazowieckie,2034,830
m. Piastów,pruszkowski,mazowieckie,5886,7128
m. Pruszków,pruszkowski,mazowieckie,13684,19925
gm. Brwinów,pruszkowski,mazowieckie,6287,9189
gm. Michałowice,pruszkowski,mazowieckie,3957,7224
gm. Nadarzyn,pruszkowski,mazowieckie,3451,5234
gm. Raszyn,pruszkowski,mazowieckie,6204,6437
m. Przasnysz,przasnyski,mazowieckie,5062,3694
gm. Chorzele,przasnyski,mazowieckie,3575,1165
gm. Czernice Borowe,przasnyski,mazowieckie,1625,425
gm. Jednorożec,przasnyski,mazowieckie,2491,807
gm. Krasne,przasnyski,mazowieckie,1417,357
gm. Krzynowłoga Mała,przasnyski,mazowieckie,1647,272
gm. Przasnysz,przasnyski,mazowieckie,2890,743
gm. Borkowice,przysuski,mazowieckie,1780,625
gm. Gielniów,przysuski,mazowieckie,2214,439
gm. Klwów,przysuski,mazowieckie,2161,443
gm. Odrzywół,przysuski,mazowieckie,2068,328
gm. Potworów,przysuski,mazowieckie,1923,338
gm. Przysucha,przysuski,mazowieckie,4766,1940
gm. Rusinów,przysuski,mazowieckie,2326,318
gm. Wieniawa,przysuski,mazowieckie,2503,525
gm. Gzy,pułtuski,mazowieckie,1535,455
gm. Obryte,pułtuski,mazowieckie,2246,711
gm. Pokrzywnica,pułtuski,mazowieckie,2041,786
gm. Pułtusk,pułtuski,mazowieckie,7226,5378
gm. Świercze,pułtuski,mazowieckie,1722,757
gm. Winnica,pułtuski,mazowieckie,1698,616
gm. Zatory,pułtuski,mazowieckie,2183,747
m. Pionki,radomski,mazowieckie,5280,3844
gm. Gózd,radomski,mazowieckie,4117,877
gm. Iłża,radomski,mazowieckie,5228,2117
gm. Jastrzębia,radomski,mazowieckie,3104,877
gm. Jedlińsk,radomski,mazowieckie,5883,1725
gm. Jedlnia-Letnisko,radomski,mazowieckie,5040,2278
gm. Kowala,radomski,mazowieckie,4707,1672
gm. Pionki,radomski,mazowieckie,3957,1399
gm. Przytyk,radomski,mazowieckie,3564,604
gm. Skaryszew,radomski,mazowieckie,6520,1593
gm. Wierzbica,radomski,mazowieckie,3718,1089
gm. Wolanów,radomski,mazowieckie,3873,1024
gm. Zakrzew,radomski,mazowieckie,5738,1680
gm. Domanice,siedlecki,mazowieckie,1272,200
gm. Korczew,siedlecki,mazowieckie,1109,414
gm. Kotuń,siedlecki,mazowieckie,3411,1153
gm. Mokobody,siedlecki,mazowieckie,2435,436
gm. Mordy,siedlecki,mazowieckie,2463,703
gm. Paprotnia,siedlecki,mazowieckie,1316,188
gm. Przesmyki,siedlecki,mazowieckie,1524,274
gm. Siedlce,siedlecki,mazowieckie,7025,2927
gm. Skórzec,siedlecki,mazowieckie,3672,665
gm. Suchożebry,siedlecki,mazowieckie,2097,486
gm. Wiśniew,siedlecki,mazowieckie,2929,484
gm. Wodynie,siedlecki,mazowieckie,2094,376
gm. Zbuczyn,siedlecki,mazowieckie,4840,886
m. Sierpc,sierpecki,mazowieckie,5045,4065
gm. Gozdowo,sierpecki,mazowieckie,2086,764
gm. Mochowo,sierpecki,mazowieckie,2203,660
gm. Rościszewo,sierpecki,mazowieckie,1773,407
gm. Sierpc,sierpecki,mazowieckie,2375,936
gm. Szczutowo,sierpecki,mazowieckie,1640,664
gm. Zawidz,sierpecki,mazowieckie,2609,816
m. Sochaczew,sochaczewski,mazowieckie,9311,9301
gm. Brochów,sochaczewski,mazowieckie,1719,743
gm. Iłów,sochaczewski,mazowieckie,2526,863
gm. Młodzieszyn,sochaczewski,mazowieckie,2183,742
gm. Nowa Sucha,sochaczewski,mazowieckie,2403,1124
gm. Rybno,sochaczewski,mazowieckie,1409,448
gm. Sochaczew,sochaczewski,mazowieckie,3456,2233
gm. Teresin,sochaczewski,mazowieckie,3794,2513
m. Sokołów Podlaski,sokołowski,mazowieckie,6229,4030
gm. Bielany,sokołowski,mazowieckie,2082,307
gm. Ceranów,sokołowski,mazowieckie,1065,227
gm. Jabłonna Lacka,sokołowski,mazowieckie,2130,533
gm. Kosów Lacki,sokołowski,mazowieckie,2714,704
gm. Repki,sokołowski,mazowieckie,2443,598
gm. Sabnie,sokołowski,mazowieckie,1556,480
gm. Sokołów Podlaski,sokołowski,mazowieckie,2585,746
gm. Sterdyń,sokołowski,mazowieckie,1777,582
gm. Chlewiska,szydłowiecki,mazowieckie,2429,672
gm. Jastrząb,szydłowiecki,mazowieckie,2151,563
gm. Mirów,szydłowiecki,mazowieckie,1712,243
gm. Orońsko,szydłowiecki,mazowieckie,2571,676
gm. Szydłowiec,szydłowiecki,mazowieckie,6627,2817
gm. Błonie,warszawski zachodni,mazowieckie,5722,5892
gm. Izabelin,warszawski zachodni,mazowieckie,2956,3509
gm. Kampinos,warszawski zachodni,mazowieckie,1579,1058
gm. Leszno,warszawski zachodni,mazowieckie,2803,2918
gm. Łomianki,warszawski zachodni,mazowieckie,6083,9850
gm. Ożarów Mazowiecki,warszawski zachodni,mazowieckie,6636,7533
gm. Stare Babice,warszawski zachodni,mazowieckie,4699,6424
m. Węgrów,węgrowski,mazowieckie,3746,3117
gm. Grębków,węgrowski,mazowieckie,1918,545
gm. Korytnica,węgrowski,mazowieckie,2794,633
gm. Liw,węgrowski,mazowieckie,3049,1111
gm. Łochów,węgrowski,mazowieckie,6966,3023
gm. Miedzna,węgrowski,mazowieckie,1756,530
gm. Sadowne,węgrowski,mazowieckie,2606,840
gm. Stoczek,węgrowski,mazowieckie,2134,721
gm. Wierzbno,węgrowski,mazowieckie,1311,330
m. Kobyłka,wołomiński,mazowieckie,6911,6440
m. Marki,wołomiński,mazowieckie,8729,9680
m. Ząbki,wołomiński,mazowieckie,8611,10284
m. Zielonka,wołomiński,mazowieckie,4898,5175
gm. Dąbrówka,wołomiński,mazowieckie,3758,1214
gm. Jadów,wołomiński,mazowieckie,2840,1463
gm. Klembów,wołomiński,mazowieckie,3955,1740
gm. Poświętne,wołomiński,mazowieckie,2790,667
gm. Radzymin,wołomiński,mazowieckie,8977,6050
gm. Strachówka,wołomiński,mazowieckie,1151,378
gm. Tłuszcz,wołomiński,mazowieckie,7512,3418
gm. Wołomin,wołomiński,mazowieckie,16007,12425
gm. Brańszczyk,wyszkowski,mazowieckie,3478,1239
gm. Długosiodło,wyszkowski,mazowieckie,3132,1079
gm. Rząśnik,wyszkowski,mazowieckie,3241,853
gm. Somianka,wyszkowski,mazowieckie,2521,1042
gm. Wyszków,wyszkowski,mazowieckie,13088,8149
gm. Zabrodzie,wyszkowski,mazowieckie,2508,914
gm. Kazanów,zwoleński,mazowieckie,2027,508
gm. Policzna,zwoleński,mazowieckie,2292,718
gm. Przyłęk,zwoleński,mazowieckie,2585,597
gm. Tczów,zwoleński,mazowieckie,2216,415
gm. Zwoleń,zwoleński,mazowieckie,5625,2451
gm. Bieżuń,żuromiński,mazowieckie,1889,700
gm. Kuczbork-Osada,żuromiński,mazowieckie,1580,808
gm. Lubowidz,żuromiński,mazowieckie,2419,1075
gm. Lutocin,żuromiński,mazowieckie,1700,492
gm. Siemiątkowo,żuromiński,mazowieckie,1497,331
gm. Żuromin,żuromiński,mazowieckie,4295,3210
m. Żyrardów,żyrardowski,mazowieckie,10021,10704
gm. Mszczonów,żyrardowski,mazowieckie,3979,2234
gm. Puszcza Mariańska,żyrardowski,mazowieckie,2901,1781
gm. Radziejowice,żyrardowski,mazowieckie,1895,1601
gm. Wiskitki,żyrardowski,mazowieckie,3573,1690
m. Ostrołęka,Ostrołęka,mazowieckie,15149,10805
m. Płock,Płock,mazowieckie,29928,32236
m. Radom,Radom,mazowieckie,59413,47819
m. Siedlce,Siedlce,mazowieckie,23778,17221
Bemowo,Warszawa,mazowieckie,21283,50211
Białołęka,Warszawa,mazowieckie,21861,49402
Bielany,Warszawa,mazowieckie,27274,49414
Mokotów,Warszawa,mazowieckie,37058,92029
Ochota,Warszawa,mazowieckie,14427,32318
Praga-Południe,Warszawa,mazowieckie,35330,71095
Praga-Północ,Warszawa,mazowieckie,13361,19614
Rembertów,Warszawa,mazowieckie,5123,8323
Śródmieście,Warszawa,mazowieckie,20096,43409
Targówek,Warszawa,mazowieckie,27542,41234
Ursus,Warszawa,mazowieckie,12686,21060
Ursynów,Warszawa,mazowieckie,23867,65899
Wawer,Warszawa,mazowieckie,17370,28260
Wesoła,Warszawa,mazowieckie,5310,9491
Wilanów,Warszawa,mazowieckie,5264,18617
Włochy,Warszawa,mazowieckie,8620,16861
Wola,Warszawa,mazowieckie,26975,55272
Żoliborz,Warszawa,mazowieckie,9107,23050
statki,statki,mazowieckie,110,250
zagranica,zagranica,mazowieckie,107647,308304
m. Brzeg,brzeski,opolskie,8144,8887
gm. Skarbimierz,brzeski,opolskie,2412,1850
gm. Grodków,brzeski,opolskie,4872,4070
gm. Lewin Brzeski,brzeski,opolskie,3319,2629
gm. Lubsza,brzeski,opolskie,2548,1820
gm. Olszanka,brzeski,opolskie,1617,896
gm. Baborów,głubczycki,opolskie,1663,1034
gm. Branice,głubczycki,opolskie,2040,1222
gm. Głubczyce,głubczycki,opolskie,6507,4430
gm. Kietrz,głubczycki,opolskie,3047,2089
m. Kędzierzyn-Koźle,kędzierzyńsko-kozielski,opolskie,10897,16583
gm. Bierawa,kędzierzyńsko-kozielski,opolskie,1462,1704
gm. Cisek,kędzierzyńsko-kozielski,opolskie,1099,1086
gm. Pawłowiczki,kędzierzyńsko-kozielski,opolskie,1494,1436
gm. Polska Cerekiew,kędzierzyńsko-kozielski,opolskie,764,877
gm. Reńska Wieś,kędzierzyńsko-kozielski,opolskie,1467,1881
gm. Byczyna,kluczborski,opolskie,2409,1768
gm. Kluczbork,kluczborski,opolskie,7612,9333
gm. Lasowice Wielkie,kluczborski,opolskie,1222,1260
gm. Wołczyn,kluczborski,opolskie,3612,2454
gm. Gogolin,krapkowicki,opolskie,2002,2935
gm. Krapkowice,krapkowicki,opolskie,4024,5781
gm. Strzeleczki,krapkowicki,opolskie,1413,1520
gm. Walce,krapkowicki,opolskie,940,1229
gm. Zdzieszowice,krapkowicki,opolskie,2598,3656
gm. Domaszowice,namysłowski,opolskie,1142,787
gm. Namysłów,namysłowski,opolskie,7059,6211
gm. Pokój,namysłowski,opolskie,1065,1312
gm. Świerczów,namysłowski,opolskie,1006,757
gm. Wilków,namysłowski,opolskie,1212,903
gm. Głuchołazy,nyski,opolskie,6015,5365
gm. Kamiennik,nyski,opolskie,1154,451
gm. Korfantów,nyski,opolskie,2609,1251
gm. Łambinowice,nyski,opolskie,2070,1350
gm. Nysa,nyski,opolskie,13918,14225
gm. Otmuchów,nyski,opolskie,4098,2575
gm. Paczków,nyski,opolskie,3453,2335
gm. Pakosławice,nyski,opolskie,1231,667
gm. Skoroszyce,nyski,opolskie,1918,970
gm. Dobrodzień,oleski,opolskie,1816,1895
gm. Gorzów Śląski,oleski,opolskie,1735,1210
gm. Olesno,oleski,opolskie,3400,4229
gm. Praszka,oleski,opolskie,3946,3309
gm. Radłów,oleski,opolskie,941,664
gm. Rudniki,oleski,opolskie,2774,1591
gm. Zębowice,oleski,opolskie,709,631
gm. Chrząstowice,opolski,opolskie,1069,2054
gm. Dąbrowa,opolski,opolskie,1757,2201
gm. Dobrzeń Wielki,opolski,opolskie,1223,2895
gm. Komprachcice,opolski,opolskie,1466,2468
gm. Łubniany,opolski,opolskie,1551,2712
gm. Murów,opolski,opolskie,873,1176
gm. Niemodlin,opolski,opolskie,3280,2713
gm. Ozimek,opolski,opolskie,3543,4684
gm. Popielów,opolski,opolskie,1500,1855
gm. Prószków,opolski,opolskie,1687,2273
gm. Tarnów Opolski,opolski,opolskie,1717,2443
gm. Tułowice,opolski,opolskie,1345,1172
gm. Turawa,opolski,opolskie,1694,2786
gm. Biała,prudnicki,opolskie,2148,1971
gm. Głogówek,prudnicki,opolskie,3070,2599
gm. Lubrza,prudnicki,opolskie,1221,897
gm. Prudnik,prudnicki,opolskie,7312,5421
gm. Izbicko,strzelecki,opolskie,955,1294
gm. Jemielnica,strzelecki,opolskie,1559,1209
gm. Kolonowskie,strzelecki,opolskie,1035,1294
gm. Leśnica,strzelecki,opolskie,1750,1654
gm. Strzelce Opolskie,strzelecki,opolskie,5905,8026
gm. Ujazd,strzelecki,opolskie,1520,1210
gm. Zawadzkie,strzelecki,opolskie,2554,1964
m. Opole,Opole,opolskie,21459,45593
gm. Czarna,bieszczadzki,podkarpackie,847,529
gm. Lutowiska,bieszczadzki,podkarpackie,806,1106
gm. Ustrzyki Dolne,bieszczadzki,podkarpackie,4942,3741
gm. Brzozów,brzozowski,podkarpackie,10698,2780
gm. Domaradz,brzozowski,podkarpackie,2878,406
gm. Dydnia,brzozowski,podkarpackie,3382,650
gm. Haczów,brzozowski,podkarpackie,3969,959
gm. Jasienica Rosielna,brzozowski,podkarpackie,4017,580
gm. Nozdrzec,brzozowski,podkarpackie,3364,737
m. Dębica,dębicki,podkarpackie,15007,9154
gm. Brzostek,dębicki,podkarpackie,5949,843
gm. Czarna,dębicki,podkarpackie,5528,1416
gm. Dębica,dębicki,podkarpackie,10204,3122
gm. Jodłowa,dębicki,podkarpackie,2371,348
gm. Pilzno,dębicki,podkarpackie,8313,1597
gm. Żyraków,dębicki,podkarpackie,6304,1492
m. Jarosław,jarosławski,podkarpackie,11394,7139
m. Radymno,jarosławski,podkarpackie,1876,803
gm. Chłopice,jarosławski,podkarpackie,2464,394
gm. Jarosław,jarosławski,podkarpackie,5182,1421
gm. Laszki,jarosławski,podkarpackie,2830,502
gm. Pawłosiów,jarosławski,podkarpackie,3344,1076
gm. Pruchnik,jarosławski,podkarpackie,4578,640
gm. Radymno,jarosławski,podkarpackie,4748,880
gm. Rokietnica,jarosławski,podkarpackie,1833,281
gm. Roźwienica,jarosławski,podkarpackie,2710,508
gm. Wiązownica,jarosławski,podkarpackie,5064,1097
m. Jasło,jasielski,podkarpackie,11229,6833
gm. Brzyska,jasielski,podkarpackie,3168,432
gm. Dębowiec,jasielski,podkarpackie,4009,719
gm. Jasło,jasielski,podkarpackie,7118,1907
gm. Kołaczyce,jasielski,podkarpackie,4048,751
gm. Krempna,jasielski,podkarpackie,673,277
gm. Nowy Żmigród,jasielski,podkarpackie,4057,821
gm. Osiek Jasielski,jasielski,podkarpackie,2398,361
gm. Skołyszyn,jasielski,podkarpackie,5255,1375
gm. Tarnowiec,jasielski,podkarpackie,3951,971
gm. Cmolas,kolbuszowski,podkarpackie,3491,622
gm. Kolbuszowa,kolbuszowski,podkarpackie,9028,3244
gm. Majdan Królewski,kolbuszowski,podkarpackie,4144,673
gm. Niwiska,kolbuszowski,podkarpackie,2568,509
gm. Raniżów,kolbuszowski,podkarpackie,3102,561
gm. Dzikowiec,kolbuszowski,podkarpackie,2502,445
gm. Chorkówka,krośnieński,podkarpackie,5398,1600
gm. Dukla,krośnieński,podkarpackie,5650,1876
gm. Iwonicz-Zdrój,krośnieński,podkarpackie,4707,1535
gm. Jedlicze,krośnieński,podkarpackie,5553,2207
gm. Korczyna,krośnieński,podkarpackie,4586,1530
gm. Krościenko Wyżne,krośnieński,podkarpackie,2175,797
gm. Miejsce Piastowe,krośnieński,podkarpackie,5229,2126
gm. Rymanów,krośnieński,podkarpackie,6561,2260
gm. Wojaszówka,krośnieński,podkarpackie,3487,1254
gm. Jaśliska,krośnieński,podkarpackie,1030,317
m. Leżajsk,leżajski,podkarpackie,4586,2497
gm. Grodzisko Dolne,leżajski,podkarpackie,3596,630
gm. Kuryłówka,leżajski,podkarpackie,2399,446
gm. Leżajsk,leżajski,podkarpackie,8680,1509
gm. Nowa Sarzyna,leżajski,podkarpackie,9317,1635
m. Lubaczów,lubaczowski,podkarpackie,3530,2476
gm. Cieszanów,lubaczowski,podkarpackie,2518,862
gm. Horyniec-Zdrój,lubaczowski,podkarpackie,1707,685
gm. Lubaczów,lubaczowski,podkarpackie,3797,763
gm. Narol,lubaczowski,podkarpackie,2994,874
gm. Oleszyce,lubaczowski,podkarpackie,2456,720
gm. Stary Dzików,lubaczowski,podkarpackie,1755,392
gm. Wielkie Oczy,lubaczowski,podkarpackie,1571,360
m. Łańcut,łańcucki,podkarpackie,5973,3657
gm. Białobrzegi,łańcucki,podkarpackie,3659,856
gm. Czarna,łańcucki,podkarpackie,5268,1253
gm. Łańcut,łańcucki,podkarpackie,9430,2546
gm. Markowa,łańcucki,podkarpackie,3057,619
gm. Rakszawa,łańcucki,podkarpackie,3497,671
gm. Żołynia,łańcucki,podkarpackie,3061,820
m. Mielec,mielecki,podkarpackie,18444,12232
gm. Borowa,mielecki,podkarpackie,2164,707
gm. Czermin,mielecki,podkarpackie,2984,675
gm. Gawłuszowice,mielecki,podkarpackie,1221,234
gm. Mielec,mielecki,podkarpackie,5101,1919
gm. Padew Narodowa,mielecki,podkarpackie,2310,469
gm. Przecław,mielecki,podkarpackie,5070,1094
gm. Radomyśl Wielki,mielecki,podkarpackie,5812,1330
gm. Tuszów Narodowy,mielecki,podkarpackie,3636,892
gm. Wadowice Górne,mielecki,podkarpackie,3272,563
gm. Harasiuki,niżański,podkarpackie,2495,490
gm. Jarocin,niżański,podkarpackie,1978,516
gm. Jeżowe,niżański,podkarpackie,4817,452
gm. Krzeszów,niżański,podkarpackie,1681,345
gm. Nisko,niżański,podkarpackie,7393,3278
gm. Rudnik nad Sanem,niżański,podkarpackie,3285,1432
gm. Ulanów,niżański,podkarpackie,3229,794
gm. Bircza,przemyski,podkarpackie,2577,553
gm. Dubiecko,przemyski,podkarpackie,3665,937
gm. Fredropol,przemyski,podkarpackie,2008,658
gm. Krasiczyn,przemyski,podkarpackie,1775,891
gm. Krzywcza,przemyski,podkarpackie,2128,326
gm. Medyka,przemyski,podkarpackie,2461,769
gm. Orły,przemyski,podkarpackie,3510,990
gm. Przemyśl,przemyski,podkarpackie,3592,1649
gm. Stubno,przemyski,podkarpackie,1342,390
gm. Żurawica,przemyski,podkarpackie,4990,1680
m. Przeworsk,przeworski,podkarpackie,5379,2685
gm. Adamówka,przeworski,podkarpackie,1631,397
gm. Gać,przeworski,podkarpackie,1960,426
gm. Jawornik Polski,przeworski,podkarpackie,1896,600
