Gmina,Powiat,Województwo,Robert BIEDROŃ,Krzysztof BOSAK,Andrzej Sebastian DUDA,Szymon Franciszek HOŁOWNIA,Marek JAKUBIAK,Władysław Marcin KOSINIAK-KAMYSZ,Mirosław Mariusz PIOTROWSKI,Paweł Jan TANAJNO,Rafał Kazimierz TRZASKOWSKI,Waldemar Włodzimierz WITKOWSKI,Stanisław Józef ŻÓŁTEK
gm. Rząśnik,wyszkowski,mazowieckie,38,271,2606,286,5,127,5,4,355,0,4
gm. Somianka,wyszkowski,mazowieckie,31,200,2044,260,4,167,1,2,495,0,2
gm. Wyszków,wyszkowski,mazowieckie,294,1854,10407,2583,39,453,27,32,4633,18,46
gm. Zabrodzie,wyszkowski,mazowieckie,29,174,2001,349,3,76,4,1,475,2,9
gm. Kazanów,zwoleński,mazowieckie,31,127,1667,179,0,82,1,2,202,0,4
gm. Policzna,zwoleński,mazowieckie,32,169,1817,236,7,109,3,0,322,1,3
gm. Przyłęk,zwoleński,mazowieckie,39,151,2079,198,7,93,2,0,283,0,4
gm. Tczów,zwoleński,mazowieckie,18,133,1770,169,4,123,5,3,165,2,1
gm. Zwoleń,zwoleński,mazowieckie,118,485,4611,707,11,235,9,7,1296,11,14
gm. Bieżuń,żuromiński,mazowieckie,38,105,1529,180,4,110,1,1,344,1,1
gm. Kuczbork-Osada,żuromiński,mazowieckie,31,121,1265,249,3,132,3,4,343,3,4
gm. Lubowidz,żuromiński,mazowieckie,56,125,1927,355,8,112,2,4,577,5,5
gm. Lutocin,żuromiński,mazowieckie,15,86,1344,174,1,86,1,0,228,2,2
gm. Siemiątkowo,żuromiński,mazowieckie,19,58,1168,100,5,101,0,2,125,0,1
gm. Żuromin,żuromiński,mazowieckie,118,319,3523,854,10,323,8,3,1854,4,18
m. Żyrardów,żyrardowski,mazowieckie,457,1227,8411,2799,51,377,21,35,6834,27,60
gm. Mszczonów,żyrardowski,mazowieckie,99,420,3217,719,16,142,7,4,1211,4,12
gm. Puszcza Mariańska,żyrardowski,mazowieckie,73,284,2355,581,7,99,4,11,946,6,20
gm. Radziejowice,żyrardowski,mazowieckie,55,186,1501,432,13,86,4,3,922,5,13
gm. Wiskitki,żyrardowski,mazowieckie,83,360,2877,599,15,131,10,9,890,5,13
m. Ostrołęka,Ostrołęka,mazowieckie,420,2039,12330,3452,55,541,29,39,6337,26,66
m. Płock,Płock,mazowieckie,1330,3646,24639,7504,110,1445,57,78,21115,101,110
m. Radom,Radom,mazowieckie,1969,7899,49401,12113,188,1942,104,158,30263,162,214
m. Siedlce,Siedlce,mazowieckie,763,3415,19332,4676,88,1080,71,58,10268,59,121
Bemowo,Warszawa,mazowieckie,2183,4100,17640,10162,142,1395,72,118,35584,186,204
Białołęka,Warszawa,mazowieckie,2046,4644,16991,11822,231,1420,69,134,33447,176,215
Bielany,Warszawa,mazowieckie,2582,4422,22856,9921,171,1251,84,120,34788,195,241
Mokotów,Warszawa,mazowieckie,5336,6385,30714,16405,260,2327,164,219,65341,435,385
Ochota,Warszawa,mazowieckie,1996,2572,12112,6050,108,808,49,81,22598,162,159
Praga-Południe,Warszawa,mazowieckie,3865,5882,29633,14146,243,1861,110,185,49647,315,281
Praga-Północ,Warszawa,mazowieckie,1469,1820,11262,4287,72,548,33,60,12834,100,84
Rembertów,Warszawa,mazowieckie,402,826,4313,1846,38,265,20,26,5841,40,48
Śródmieście,Warszawa,mazowieckie,2905,2834,16923,6859,141,919,53,82,30670,237,175
Targówek,Warszawa,mazowieckie,1857,3898,23214,9166,181,1134,85,89,27953,136,172
Ursus,Warszawa,mazowieckie,955,2153,10525,4977,114,626,47,64,14042,83,94
Ursynów,Warszawa,mazowieckie,3056,4687,19760,12088,180,1660,117,171,48623,270,239
Wawer,Warszawa,mazowieckie,1054,2637,14525,6316,108,842,60,69,19937,105,119
Wesoła,Warszawa,mazowieckie,363,912,4343,2047,45,297,22,25,6589,35,48
Wilanów,Warszawa,mazowieckie,638,1108,4151,3285,55,419,17,36,14213,47,51
Włochy,Warszawa,mazowieckie,863,1771,6920,3697,50,449,47,44,11373,83,91
Wola,Warszawa,mazowieckie,3043,4962,21944,11226,218,1412,78,178,36803,245,275
Żoliborz,Warszawa,mazowieckie,1317,1567,7592,4196,84,562,27,56,16593,123,80
statki,statki,mazowieckie,15,72,50,65,6,17,0,1,140,1,2
zagranica,zagranica,mazowieckie,14316,27316,64904,48775,598,3274,224,564,149735,942,476
m. Brzeg,brzeski,opolskie,386,1086,6877,2400,30,310,18,16,5581,22,40
gm. Skarbimierz,brzeski,opolskie,57,306,1938,692,13,96,4,12,962,2,10
gm. Grodków,brzeski,opolskie,159,446,4093,951,12,235,12,12,2469,10,16
gm. Lewin Brzeski,brzeski,opolskie,105,425,2641,736,14,167,4,17,1523,14,10
gm. Lubsza,brzeski,opolskie,56,264,2112,644,11,94,2,5,970,3,4
gm. Olszanka,brzeski,opolskie,37,177,1371,321,2,71,1,4,448,3,6
gm. Baborów,głubczycki,opolskie,32,156,1348,288,3,48,5,2,569,2,14
gm. Branice,głubczycki,opolskie,47,163,1763,263,6,69,11,9,646,3,9
gm. Głubczyce,głubczycki,opolskie,160,544,5578,1013,20,208,12,12,2738,9,14
gm. Kietrz,głubczycki,opolskie,80,415,2524,488,6,94,3,8,1182,5,6
m. Kędzierzyn-Koźle,kędzierzyńsko-kozielski,opolskie,640,1608,8887,4844,40,458,30,30,10091,46,72
gm. Bierawa,kędzierzyńsko-kozielski,opolskie,40,291,1159,630,7,59,3,4,834,4,6
gm. Cisek,kędzierzyńsko-kozielski,opolskie,29,112,881,438,0,58,4,2,536,2,1
gm. Pawłowiczki,kędzierzyńsko-kozielski,opolskie,44,143,1191,453,6,69,1,3,747,5,5
gm. Polska Cerekiew,kędzierzyńsko-kozielski,opolskie,27,125,625,296,3,46,1,2,432,0,3
gm. Reńska Wieś,kędzierzyńsko-kozielski,opolskie,36,187,1133,775,8,81,4,6,897,5,6
gm. Byczyna,kluczborski,opolskie,58,253,1932,534,11,136,3,7,979,3,11
gm. Kluczbork,kluczborski,opolskie,272,1032,6224,2378,27,366,17,27,5845,26,38
gm. Lasowice Wielkie,kluczborski,opolskie,28,171,960,464,2,108,5,3,607,4,3
gm. Wołczyn,kluczborski,opolskie,73,354,2968,743,11,139,5,3,1383,8,13
gm. Gogolin,krapkowicki,opolskie,70,320,1539,1242,6,93,4,6,1465,1,15
gm. Krapkowice,krapkowicki,opolskie,184,584,3256,1963,12,205,14,11,3219,8,15
gm. Strzeleczki,krapkowicki,opolskie,40,168,1092,683,4,101,6,0,600,4,5
gm. Walce,krapkowicki,opolskie,28,142,779,546,5,52,5,2,469,4,5
gm. Zdzieszowice,krapkowicki,opolskie,105,460,2043,1178,7,135,3,8,2068,11,11
gm. Domaszowice,namysłowski,opolskie,47,100,952,292,3,68,1,1,373,3,4
gm. Namysłów,namysłowski,opolskie,234,847,5819,1675,25,293,13,17,3739,14,19
gm. Pokój,namysłowski,opolskie,33,114,906,352,4,98,4,0,718,0,3
gm. Świerczów,namysłowski,opolskie,27,113,819,239,1,47,1,2,378,1,2
gm. Wilków,namysłowski,opolskie,27,130,1002,258,2,44,1,6,466,0,4
gm. Głuchołazy,nyski,opolskie,188,549,5116,1427,14,227,4,16,3140,10,16
gm. Kamiennik,nyski,opolskie,23,93,992,131,0,42,2,1,233,0,2
gm. Korfantów,nyski,opolskie,60,252,2210,447,3,102,6,5,585,4,9
gm. Łambinowice,nyski,opolskie,76,236,1718,470,3,99,4,6,668,3,4
gm. Nysa,nyski,opolskie,480,1463,11613,4026,42,453,15,31,8676,21,46
gm. Otmuchów,nyski,opolskie,82,318,3500,742,12,150,4,1,1497,3,18
gm. Paczków,nyski,opolskie,76,300,2975,723,9,99,3,8,1371,7,7
gm. Pakosławice,nyski,opolskie,35,69,1042,216,4,38,0,2,340,1,2
gm. Skoroszyce,nyski,opolskie,36,122,1625,292,2,87,1,4,563,0,7
gm. Dobrodzień,oleski,opolskie,32,241,1414,763,7,94,6,7,972,5,13
gm. Gorzów Śląski,oleski,opolskie,45,124,1419,444,3,100,7,7,584,7,7
gm. Olesno,oleski,opolskie,120,493,2711,1734,22,181,9,8,2086,6,16
gm. Praszka,oleski,opolskie,122,348,3344,1344,11,218,3,9,1715,6,15
gm. Radłów,oleski,opolskie,15,88,757,331,2,56,3,3,278,0,4
gm. Rudniki,oleski,opolskie,47,184,2260,649,7,141,2,2,813,4,9
gm. Zębowice,oleski,opolskie,16,80,544,283,1,31,3,2,264,2,7
gm. Chrząstowice,opolski,opolskie,46,166,856,678,3,63,1,8,1130,2,4
gm. Dąbrowa,opolski,opolskie,53,195,1417,660,1,110,1,12,1339,5,6
gm. Dobrzeń Wielki,opolski,opolskie,54,245,920,916,7,115,12,6,1632,3,14
gm. Komprachcice,opolski,opolskie,76,209,1221,764,4,82,4,12,1475,5,7
gm. Łubniany,opolski,opolskie,65,236,1235,818,2,118,7,2,1568,10,7
gm. Murów,opolski,opolskie,35,105,720,376,2,69,1,3,622,4,3
gm. Niemodlin,opolski,opolskie,99,419,2651,760,14,197,7,6,1533,8,10
gm. Ozimek,opolski,opolskie,139,423,2814,1504,11,230,8,16,2620,12,16
gm. Popielów,opolski,opolskie,44,174,1204,679,4,90,6,7,999,7,8
gm. Prószków,opolski,opolskie,52,216,1376,842,4,97,8,4,1212,2,12
gm. Tarnów Opolski,opolski,opolskie,61,247,1324,1061,4,105,1,9,1238,3,8
gm. Tułowice,opolski,opolskie,33,191,1112,327,5,84,3,5,685,2,5
gm. Turawa,opolski,opolskie,74,219,1285,886,9,161,4,6,1517,7,7
gm. Biała,prudnicki,opolskie,48,244,1776,759,7,94,8,8,910,5,7
gm. Głogówek,prudnicki,opolskie,58,368,2517,855,6,138,8,10,1329,4,10
gm. Lubrza,prudnicki,opolskie,29,126,1036,364,2,49,2,3,453,1,3
gm. Prudnik,prudnicki,opolskie,242,730,5977,1854,16,212,4,8,3136,11,23
gm. Izbicko,strzelecki,opolskie,24,128,748,514,3,37,2,3,664,0,7
gm. Jemielnica,strzelecki,opolskie,28,199,1229,551,2,47,1,3,585,4,4
gm. Kolonowskie,strzelecki,opolskie,27,120,835,494,0,51,4,4,615,2,4
gm. Leśnica,strzelecki,opolskie,47,210,1251,641,3,82,1,3,787,2,7
gm. Strzelce Opolskie,strzelecki,opolskie,281,742,4711,2646,30,278,21,11,4629,20,35
gm. Ujazd,strzelecki,opolskie,33,180,1169,538,3,54,1,7,558,1,7
gm. Zawadzkie,strzelecki,opolskie,47,361,2042,700,8,96,4,4,1099,4,7
m. Opole,Opole,opolskie,1730,4012,17474,10621,109,1321,52,113,30071,111,146
gm. Czarna,bieszczadzki,podkarpackie,18,92,634,109,0,29,1,0,247,3,3
gm. Lutowiska,bieszczadzki,podkarpackie,38,113,484,180,0,57,2,3,467,3,3
gm. Ustrzyki Dolne,bieszczadzki,podkarpackie,157,582,3935,1031,14,280,4,11,1876,11,20
gm. Brzozów,brzozowski,podkarpackie,137,1126,8777,935,13,225,13,10,1414,8,23
gm. Domaradz,brzozowski,podkarpackie,28,256,2358,164,8,43,4,0,173,0,6
gm. Dydnia,brzozowski,podkarpackie,34,324,2773,247,4,76,4,0,284,3,8
gm. Haczów,brzozowski,podkarpackie,45,394,3231,343,12,96,2,3,526,3,8
gm. Jasienica Rosielna,brzozowski,podkarpackie,24,353,3310,230,6,39,10,6,226,2,12
gm. Nozdrzec,brzozowski,podkarpackie,33,297,2731,241,6,132,3,1,333,0,2
m. Dębica,dębicki,podkarpackie,385,2124,12346,2704,43,521,47,21,5473,25,52
gm. Brzostek,dębicki,podkarpackie,42,490,5014,264,7,168,4,1,416,6,8
gm. Czarna,dębicki,podkarpackie,39,521,4595,533,18,231,9,7,695,4,20
gm. Dębica,dębicki,podkarpackie,125,1272,8371,1138,18,281,12,10,1580,10,24
gm. Jodłowa,dębicki,podkarpackie,26,181,1928,117,5,68,7,2,163,1,4
gm. Pilzno,dębicki,podkarpackie,62,804,6975,534,14,263,11,7,782,4,16
gm. Żyraków,dębicki,podkarpackie,67,791,5086,572,15,225,2,3,678,4,19
m. Jarosław,jarosławski,podkarpackie,248,1540,9516,1814,31,394,18,28,4429,18,40
m. Radymno,jarosławski,podkarpackie,36,216,1530,315,1,81,9,4,361,3,4
gm. Chłopice,jarosławski,podkarpackie,19,217,2090,134,4,91,0,1,182,1,2
gm. Jarosław,jarosławski,podkarpackie,64,574,4333,489,4,196,2,2,724,3,7
gm. Laszki,jarosławski,podkarpackie,33,288,2342,184,2,157,2,3,187,3,4
gm. Pawłosiów,jarosławski,podkarpackie,47,445,2833,378,1,119,1,6,540,1,5
gm. Pruchnik,jarosławski,podkarpackie,38,409,3916,237,5,125,3,2,306,0,6
gm. Radymno,jarosławski,podkarpackie,40,457,3936,363,8,162,7,5,386,2,6
gm. Rokietnica,jarosławski,podkarpackie,14,125,1561,108,1,77,1,0,130,1,6
gm. Roźwienica,jarosławski,podkarpackie,23,244,2260,186,3,131,0,0,237,1,2
gm. Wiązownica,jarosławski,podkarpackie,44,469,4172,351,8,122,3,3,478,2,4
m. Jasło,jasielski,podkarpackie,309,1402,8802,1658,40,377,22,22,4145,15,30
gm. Brzyska,jasielski,podkarpackie,31,202,2638,146,7,51,3,0,190,5,4
gm. Dębowiec,jasielski,podkarpackie,40,294,3256,264,8,113,6,3,348,5,9
gm. Jasło,jasielski,podkarpackie,95,749,5562,572,14,169,9,5,937,4,17
gm. Kołaczyce,jasielski,podkarpackie,31,287,3328,254,9,99,2,3,341,2,6
gm. Krempna,jasielski,podkarpackie,17,73,529,62,2,43,0,0,113,1,2
gm. Nowy Żmigród,jasielski,podkarpackie,51,442,3408,247,3,144,5,1,357,1,9
gm. Osiek Jasielski,jasielski,podkarpackie,19,204,1988,111,5,69,4,2,184,5,2
gm. Skołyszyn,jasielski,podkarpackie,67,553,4066,369,5,172,7,0,710,6,9
gm. Tarnowiec,jasielski,podkarpackie,42,446,3138,306,11,110,6,6,488,2,6
gm. Cmolas,kolbuszowski,podkarpackie,31,431,2935,219,15,106,4,4,247,1,8
gm. Kolbuszowa,kolbuszowski,podkarpackie,133,1260,7434,1068,19,274,13,16,1740,10,36
gm. Majdan Królewski,kolbuszowski,podkarpackie,42,374,3507,310,10,84,2,3,303,3,8
gm. Niwiska,kolbuszowski,podkarpackie,29,286,2172,180,6,78,2,2,237,1,3
gm. Raniżów,kolbuszowski,podkarpackie,37,335,2674,214,8,83,1,6,240,1,12
gm. Dzikowiec,kolbuszowski,podkarpackie,28,207,2115,158,5,90,2,4,159,2,2
gm. Chorkówka,krośnieński,podkarpackie,105,568,4478,500,19,151,6,5,825,8,18
gm. Dukla,krośnieński,podkarpackie,84,608,4520,589,9,173,6,5,924,2,10
gm. Iwonicz-Zdrój,krośnieński,podkarpackie,56,506,3814,459,15,137,5,7,733,3,7
gm. Jedlicze,krośnieński,podkarpackie,167,698,4497,703,13,153,6,6,1141,7,16
gm. Korczyna,krośnieński,podkarpackie,76,561,3657,580,6,130,2,6,777,3,21
gm. Krościenko Wyżne,krośnieński,podkarpackie,58,309,1816,272,6,61,2,1,444,1,10
gm. Miejsce Piastowe,krośnieński,podkarpackie,131,686,4368,765,16,179,7,10,1100,4,27
gm. Rymanów,krośnieński,podkarpackie,113,706,5529,690,15,217,12,6,1137,3,14
gm. Wojaszówka,krośnieński,podkarpackie,93,380,2687,457,6,94,6,2,564,9,20
gm. Jaśliska,krośnieński,podkarpackie,14,74,844,76,1,36,1,1,164,2,1
m. Leżajsk,leżajski,podkarpackie,108,676,3853,743,21,149,13,12,1388,2,14
gm. Grodzisko Dolne,leżajski,podkarpackie,22,400,3000,248,9,69,5,3,297,1,3
gm. Kuryłówka,leżajski,podkarpackie,20,267,1978,214,6,90,0,1,169,1,3
gm. Leżajsk,leżajski,podkarpackie,65,1074,7353,595,13,179,26,7,634,1,14
gm. Nowa Sarzyna,leżajski,podkarpackie,100,991,8073,571,13,152,10,5,864,7,19
m. Lubaczów,lubaczowski,podkarpackie,93,456,2915,646,7,181,1,7,1427,8,9
gm. Cieszanów,lubaczowski,podkarpackie,35,273,2089,282,7,184,8,3,378,4,4
gm. Horyniec-Zdrój,lubaczowski,podkarpackie,33,172,1350,190,2,102,3,2,294,0,5
gm. Lubaczów,lubaczowski,podkarpackie,36,298,3111,324,6,121,2,1,400,1,3
gm. Narol,lubaczowski,podkarpackie,36,287,2462,268,6,123,1,2,408,3,7
gm. Oleszyce,lubaczowski,podkarpackie,52,237,2039,267,4,107,1,2,332,5,7
gm. Stary Dzików,lubaczowski,podkarpackie,25,161,1442,197,5,83,1,0,149,3,1
gm. Wielkie Oczy,lubaczowski,podkarpackie,14,138,1343,134,1,71,3,1,151,0,2
m. Łańcut,łańcucki,podkarpackie,138,911,4899,1200,17,221,14,10,1986,6,23
gm. Białobrzegi,łańcucki,podkarpackie,47,540,2961,383,6,138,3,3,390,4,7
gm. Czarna,łańcucki,podkarpackie,50,678,4346,615,9,116,8,5,580,2,11
gm. Łańcut,łańcucki,podkarpackie,111,1038,7875,1087,24,334,21,12,1157,7,22
gm. Markowa,łańcucki,podkarpackie,21,333,2477,251,4,110,2,6,238,0,4
gm. Rakszawa,łańcucki,podkarpackie,34,323,2900,316,6,82,6,7,303,2,12
gm. Żołynia,łańcucki,podkarpackie,31,316,2525,306,3,102,3,4,350,2,9
m. Mielec,mielecki,podkarpackie,528,2800,15350,3339,62,686,42,46,7315,34,84
gm. Borowa,mielecki,podkarpackie,38,181,1831,223,8,162,5,1,327,2,14
gm. Czermin,mielecki,podkarpackie,32,256,2479,261,9,116,5,4,291,2,8
gm. Gawłuszowice,mielecki,podkarpackie,10,91,1069,68,3,63,1,1,112,0,4
gm. Mielec,mielecki,podkarpackie,78,630,4225,651,9,199,9,7,1030,3,9
gm. Padew Narodowa,mielecki,podkarpackie,25,189,1973,144,6,137,2,2,200,0,6
gm. Przecław,mielecki,podkarpackie,71,419,4272,426,12,141,5,10,523,8,9
gm. Radomyśl Wielki,mielecki,podkarpackie,66,496,4856,582,8,238,9,3,562,2,8
gm. Tuszów Narodowy,mielecki,podkarpackie,43,316,3106,296,9,139,3,2,443,2,14
gm. Wadowice Górne,mielecki,podkarpackie,40,288,2642,239,4,198,5,5,209,2,9
gm. Harasiuki,niżański,podkarpackie,24,245,2054,153,9,78,3,3,229,2,4
gm. Jarocin,niżański,podkarpackie,29,202,1621,124,2,85,4,1,271,1,3
gm. Jeżowe,niżański,podkarpackie,29,427,4175,202,8,95,12,4,182,3,6
gm. Krzeszów,niżański,podkarpackie,25,198,1380,119,8,46,3,0,146,1,2
gm. Nisko,niżański,podkarpackie,156,1110,6044,1009,24,219,10,13,1754,13,24
gm. Rudnik nad Sanem,niżański,podkarpackie,75,456,2712,440,5,96,6,5,735,8,13
gm. Ulanów,niżański,podkarpackie,28,418,2642,282,8,83,6,3,368,3,11
gm. Bircza,przemyski,podkarpackie,21,195,2047,163,3,56,2,2,279,2,0
gm. Dubiecko,przemyski,podkarpackie,42,298,2980,283,2,131,4,2,439,1,6
gm. Fredropol,przemyski,podkarpackie,25,184,1738,219,2,58,5,4,346,3,2
gm. Krasiczyn,przemyski,podkarpackie,32,170,1420,264,5,55,5,0,474,2,3
gm. Krzywcza,przemyski,podkarpackie,10,164,1762,130,0,64,1,1,142,0,3
gm. Medyka,przemyski,podkarpackie,24,206,2099,319,3,65,3,5,371,1,7
gm. Orły,przemyski,podkarpackie,38,476,2902,380,9,184,9,3,487,3,9
gm. Przemyśl,przemyski,podkarpackie,50,437,3019,526,11,149,6,9,933,3,14
gm. Stubno,przemyski,podkarpackie,24,106,1083,158,1,67,3,2,201,2,5
gm. Żurawica,przemyski,podkarpackie,82,576,4190,594,7,171,6,6,937,6,10
m. Przeworsk,przeworski,podkarpackie,125,652,4399,779,13,225,15,7,1601,4,16
gm. Adamówka,przeworski,podkarpackie,15,176,1314,166,4,96,4,0,163,2,2
gm. Gać,przeworski,podkarpackie,17,194,1693,125,6,118,0,2,210,0,5
gm. Jawornik Polski,przeworski,podkarpackie,20,142,1550,184,5,96,1,3,297,2,3
gm. Kańczuga,przeworski,podkarpackie,62,400,3742,402,5,429,2,1,817,4,7
gm. Przeworsk,przeworski,podkarpackie,72,696,5685,540,11,188,4,9,575,4,13
gm. Sieniawa,przeworski,podkarpackie,22,342,2223,269,5,104,4,0,439,1,8
gm. Tryńcza,przeworski,podkarpackie,28,430,3300,203,8,70,0,2,251,3,5
gm. Zarzecze,przeworski,podkarpackie,27,282,2701,211,3,196,4,2,292,3,1
gm. Iwierzyce,ropczycko-sędziszowski,podkarpackie,39,379,2942,303,2,109,4,3,350,1,9
gm. Ostrów,ropczycko-sędziszowski,podkarpackie,35,290,2743,262,6,85,2,4,295,4,3
gm. Ropczyce,ropczycko-sędziszowski,podkarpackie,126,1332,9290,1201,22,462,25,14,1524,11,21
gm. Sędziszów Małopolski,ropczycko-sędziszowski,podkarpackie,128,1257,8902,895,37,257,17,10,1325,12,21
gm. Wielopole Skrzyńskie,ropczycko-sędziszowski,podkarpackie,40,331,3261,234,5,103,1,3,239,2,6
m. Dynów,rzeszowski,podkarpackie,42,305,1994,214,3,66,3,8,486,2,11
gm. Błażowa,rzeszowski,podkarpackie,57,589,3834,509,11,182,4,7,489,0,10
gm. Boguchwała,rzeszowski,podkarpackie,138,1190,6557,1284,14,309,13,17,1726,4,23
gm. Chmielnik,rzeszowski,podkarpackie,55,383,2415,312,11,98,3,8,449,2,12
gm. Dynów,rzeszowski,podkarpackie,27,358,2316,185,3,87,2,0,286,3,11
gm. Głogów Małopolski,rzeszowski,podkarpackie,122,1120,6505,1105,28,263,14,16,1485,17,30
gm. Hyżne,rzeszowski,podkarpackie,29,357,2960,264,4,81,2,2,234,3,4
gm. Kamień,rzeszowski,podkarpackie,30,359,2752,117,4,87,3,3,174,3,10
gm. Krasne,rzeszowski,podkarpackie,67,619,3564,754,21,138,9,8,1159,5,19
gm. Lubenia,rzeszowski,podkarpackie,36,319,2482,346,6,100,1,3,350,5,8
gm. Sokołów Małopolski,rzeszowski,podkarpackie,48,952,6606,537,14,141,18,13,595,8,19
gm. Świlcza,rzeszowski,podkarpackie,106,793,5132,917,20,274,5,10,1216,4,23
gm. Trzebownisko,rzeszowski,podkarpackie,125,1320,6973,1562,27,254,15,14,1592,10,24
gm. Tyczyn,rzeszowski,podkarpackie,61,534,3469,633,16,118,4,6,775,4,12
m. Sanok,sanocki,podkarpackie,434,1255,8373,2224,34,407,26,22,4767,13,45
gm. Besko,sanocki,podkarpackie,35,164,1363,222,3,54,1,4,192,0,3
gm. Bukowsko,sanocki,podkarpackie,44,276,1667,239,4,84,1,1,269,2,3
gm. Komańcza,sanocki,podkarpackie,61,157,936,210,7,83,2,2,506,1,9
gm. Sanok,sanocki,podkarpackie,111,666,5726,857,18,208,8,6,1052,8,19
gm. Tyrawa Wołoska,sanocki,podkarpackie,4,69,595,100,0,30,1,0,115,0,2
gm. Zagórz,sanocki,podkarpackie,79,437,3919,611,9,164,7,5,892,3,10
gm. Zarszyn,sanocki,podkarpackie,58,309,2604,461,9,186,3,7,684,7,12
m. Stalowa Wola,stalowowolski,podkarpackie,491,2782,14647,2771,45,538,38,40,6925,24,70
gm. Bojanów,stalowowolski,podkarpackie,19,310,2653,183,2,56,3,5,272,2,10
gm. Pysznica,stalowowolski,podkarpackie,74,662,3170,456,9,83,5,5,773,3,12
gm. Radomyśl nad Sanem,stalowowolski,podkarpackie,46,325,2269,230,4,66,3,3,402,2,13
gm. Zaklików,stalowowolski,podkarpackie,67,363,2545,299,13,53,2,4,617,2,9
gm. Zaleszany,stalowowolski,podkarpackie,55,518,3507,439,6,122,5,3,727,2,12
gm. Czudec,strzyżowski,podkarpackie,78,637,4126,594,12,148,12,3,614,10,10
gm. Frysztak,strzyżowski,podkarpackie,60,502,3367,436,17,118,3,15,456,3,13
gm. Niebylec,strzyżowski,podkarpackie,45,635,3980,383,11,114,5,3,388,0,8
gm. Strzyżów,strzyżowski,podkarpackie,99,910,6049,1136,17,259,5,13,1357,7,14
gm. Wiśniowa,strzyżowski,podkarpackie,36,362,2833,345,7,100,10,6,346,2,10
gm. Baranów Sandomierski,tarnobrzeski,podkarpackie,46,469,4046,518,6,132,9,5,712,7,19
gm. Gorzyce,tarnobrzeski,podkarpackie,95,528,3730,612,9,315,2,8,1028,3,15
gm. Grębów,tarnobrzeski,podkarpackie,58,461,3390,402,4,111,2,6,547,2,13
gm. Nowa Dęba,tarnobrzeski,podkarpackie,128,689,5179,808,9,194,7,14,1478,12,40
gm. Baligród,leski,podkarpackie,28,130,1034,173,3,41,1,4,303,0,5
gm. Cisna,leski,podkarpackie,68,132,485,390,8,60,1,5,689,7,4
gm. Lesko,leski,podkarpackie,75,387,3085,552,12,172,5,1,1140,5,12
gm. Olszanica,leski,podkarpackie,39,187,1470,216,5,83,2,1,517,0,6
gm. Solina,leski,podkarpackie,66,313,2195,484,6,86,2,4,894,1,7
m. Krosno,Krosno,podkarpackie,775,1971,11102,2681,53,518,29,24,6602,30,50
m. Przemyśl,Przemyśl,podkarpackie,514,2040,13261,3245,47,582,31,39,8240,33,51
m. Rzeszów,Rzeszów,podkarpackie,2345,10381,41906,15677,276,2555,140,160,29713,134,350
m. Tarnobrzeg,Tarnobrzeg,podkarpackie,489,1774,10126,2714,38,552,24,27,7136,31,62
m. Augustów,augustowski,podlaskie,262,1076,6545,2057,32,301,14,16,3770,12,39
gm. Augustów,augustowski,podlaskie,32,206,1686,314,3,101,1,6,316,3,10
gm. Bargłów Kościelny,augustowski,podlaskie,13,113,1411,207,4,83,4,1,242,1,2
gm. Lipsk,augustowski,podlaskie,32,125,1473,237,2,56,5,1,309,1,5
gm. Nowinka,augustowski,podlaskie,25,115,923,239,3,46,1,3,389,0,7
gm. Płaska,augustowski,podlaskie,24,88,613,235,0,39,4,1,462,4,1
gm. Sztabin,augustowski,podlaskie,15,112,1330,277,2,68,3,5,334,1,7
gm. Choroszcz,białostocki,podlaskie,119,677,4008,1525,20,124,4,15,1605,3,19
gm. Czarna Białostocka,białostocki,podlaskie,67,457,2695,860,9,58,9,9,1065,2,11
gm. Dobrzyniewo Duże,białostocki,podlaskie,56,413,2408,927,7,87,6,6,797,1,14
gm. Gródek,białostocki,podlaskie,49,91,683,566,4,28,2,1,828,0,6
gm. Juchnowiec Kościelny,białostocki,podlaskie,100,828,4040,1670,30,141,10,10,1706,11,35
gm. Łapy,białostocki,podlaskie,93,770,7057,1306,18,151,16,14,1452,8,37
gm. Michałowo,białostocki,podlaskie,68,124,1202,577,12,52,3,7,725,2,6
gm. Poświętne,białostocki,podlaskie,8,121,1350,119,0,49,1,0,78,0,2
gm. Supraśl,białostocki,podlaskie,159,755,2911,2126,17,139,6,11,2423,7,16
gm. Suraż,białostocki,podlaskie,6,49,722,133,0,27,0,0,117,1,0
gm. Turośń Kościelna,białostocki,podlaskie,24,312,1827,582,3,72,2,15,651,0,4
gm. Tykocin,białostocki,podlaskie,26,198,2166,385,4,64,3,0,223,2,4
gm. Wasilków,białostocki,podlaskie,117,703,3562,1904,24,128,8,8,1943,8,20
gm. Zabłudów,białostocki,podlaskie,59,386,2110,871,15,100,4,9,739,3,9
gm. Zawady,białostocki,podlaskie,5,85,903,116,2,34,3,0,54,0,3
m. Bielsk Podlaski,bielski,podlaskie,265,721,4108,3314,16,208,11,8,3071,12,20
m. Brańsk,bielski,podlaskie,13,110,1316,165,4,37,5,2,153,1,1
gm. Bielsk Podlaski,bielski,podlaskie,52,111,1211,733,4,76,4,4,558,2,3
gm. Boćki,bielski,podlaskie,14,98,1312,254,3,35,2,1,232,0,3
